cranes,year
18,1938
22,1939
26,1940
16,1941
19,1942
21,1943
18,1944
22,1945
25,1946
31,1947
30,1948
34,1949
31,1950
25,1951
21,1952
24,1953
21,1954
28,1955
24,1956
26,1957
32,1958
33,1959
36,1960
39,1961
32,1962
33,1963
42,1964
44,1965
43,1966
48,1967
50,1968
56,1969
57,1970
59,1971
51,1972
49,1973
49,1974
57,1975
69,1976
72,1977
75,1978
76,1979
78,1980
73,1981
73,1982
75,1983
86,1984
97,1985
110,1986
134,1987
138,1988
146,1989
146,1990
132,1991
136,1992
143,1993
133,1994
158,1995
160,1996
182,1997
183,1998
185,1999
177,2000
174,2001
185,2002
194,2003
216,2004
218,2005
237,2006
266,2007
270,2008
263,2009
281,2010
283,2011
279,2012
279,2013
304,2014
